strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
1850;LARGO MEDAGLIE D'ORO;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
2140;VIA P. ORSI;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
2280;VIA PASUBIO;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
3280;VIA TONALE;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
3770;VIA H. JEDIN;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
860;VIA CONI ZUGNA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
810;VIA COL DI LANA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
2050;VIA A. NICOLODI;24;ovest;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
1310;VIA DELLE GHIAIE;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
150;VIA L. ANZOLETTI;24;ovest;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
170;VIA A. APOLLONIO;24;nord;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
3822;VIA DEL MASO SMALZ;24;entrambi;fino entrata Maso Smalz;fino entrata Maso Smalz;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
620;VIA CARE' ALTO;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
3480;VIA VICENZA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
1960;VIA MONTELLO;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
2190;VIA PADOVA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
2300;VIA G. PECORI GIRALDI;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
2560;VIA RAVENNA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
330;VIA BOLGHERA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
340;VIALE N. BOLOGNINI;24;entrambi;da Ponte dei Mille a Ponte dei Cavalleggeri;da Ponte dei Mille a Ponte dei Cavalleggeri;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
3470;PIAZZA VICENZA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
4048;PONTE BEATO MARIO BORZAGA;24;entrambi;;;19/10/20;20.15;4.00;19.00;5.00;15/10/20;28/09/20;
1870;VIA C. MENGUZZATO;25;entrambi;dalla rotatoria incrocio Via Edmund Mach a Piazzale Europa;dalla rotatoria incrocio Via Edmund Mach a Piazzale Europa;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
900;VIA A. DEGASPERI;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
3817;VIA DI MADONNA BIANCA;25;entrambi;rotonda all'incrocio con Viale Verona;rotonda all'incrocio con Viale Verona;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
1760;VIA A. MARIGHETTO;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
1800;VIA MARSALA;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
1860;VIA GEN. GIACOMO MEDICI;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
2600;VIALE DELLE ROBINIE;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
2880;VIA SAN PIO X;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
3803;PIAZZALE EUROPA;25;entrambi;;;20/10/20;20.15;4.00;19.00;5.00;16/10/20;28/09/20;
